Date : 2022-04-19 22:35:30
Directory : c:\Users\manta\Desktop\0\Jamify\Frontend
Total : 145 files,  42926 codes, 674 comments, 1830 blanks, all 45430 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\app\youtube-playlists                                                                                         |          8 |        854 |         12 |        113 |        979 |
| src\assets                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| src\assets\svg                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| src\constants                                                                                                     |          3 |         55 |          2 |          9 |         66 |
| src\context                                                                                                       |          7 |        282 |          0 |         68 |        350 |
| src\helpers                                                                                                       |          3 |        121 |          0 |         17 |        138 |
| src\shared                                                                                                        |          2 |         70 |          2 |         15 |         87 |
| src\types                                                                                                         |          4 |        589 |        478 |        109 |      1,176 |
| src\utils                                                                                                         |          4 |         50 |          3 |         13 |         66 |
| tests                                                                                                             |          7 |        441 |          0 |         87 |        528 |
| tests\api                                                                                                         |          3 |        348 |          0 |         59 |        407 |
| tests\utils                                                                                                       |          4 |         93 |          0 |         28 |        121 |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                          | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\manta\Desktop\0\Jamify\Frontend\.eslintrc.js                                                             | JavaScript         |         29 |          0 |          1 |         30 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\.prettierrc                                                              | JSON               |          9 |          0 |          1 |         10 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\README.md                                                                | Markdown           |          1 |          0 |          1 |          2 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\package-lock.json                                                        | JSON               |     30,024 |          0 |          1 |     30,025 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\package.json                                                             | JSON               |         93 |          3 |          0 |         96 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\public\index.html                                                        | HTML               |         20 |         23 |          1 |         44 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\public\manifest.json                                                     | JSON               |         25 |          0 |          1 |         26 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\api\api-endpoints.ts                                                 | TypeScript         |         55 |          0 |          8 |         63 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\deezer-artists\artist-cards.tsx                             | TypeScript React   |         73 |          1 |         14 |         88 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\deezer-artists\carousel-items.css                           | CSS                |          8 |          0 |          2 |         10 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\deezer-artists\deezer-artists.tsx                           | TypeScript React   |        271 |          2 |         18 |        291 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\deezer-artists\deezer-playlists.tsx                         | TypeScript React   |         72 |          3 |         14 |         89 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\deezer-artists\deezer-tracks.tsx                            | TypeScript React   |        148 |          1 |         18 |        167 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\deezer-artists\deezer.styles.ts                             | TypeScript         |        109 |          0 |         11 |        120 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\deezer-artists\styles.css                                   | CSS                |         76 |          0 |          6 |         82 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\dialog-content\fontFamily.css                               | CSS                |          1 |          0 |          1 |          2 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\dialog-content\header-settings-dialog-deezer.tsx            | TypeScript React   |        176 |          0 |         27 |        203 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\dialog-content\header-settings-dialog-spotify.tsx           | TypeScript React   |        144 |          2 |         26 |        172 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\dialog-content\header-settings-dialog-youtube.tsx           | TypeScript React   |        171 |          0 |         26 |        197 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\dialog-content\settings.styles.ts                           | TypeScript         |         70 |          0 |          8 |         78 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\featured-playlists\artists-mapped.tsx                       | TypeScript React   |         71 |          0 |         13 |         84 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\featured-playlists\carousel-items.css                       | CSS                |          8 |          0 |          2 |         10 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\featured-playlists\featured-artists.tsx                     | TypeScript React   |         89 |          1 |         16 |        106 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\featured-playlists\featured-card.tsx                        | TypeScript React   |         87 |          4 |         17 |        108 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\featured-playlists\featured-playlists.tsx                   | TypeScript React   |        325 |          0 |         25 |        350 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\featured-playlists\featured-tracks.tsx                      | TypeScript React   |        119 |          1 |         17 |        137 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\featured-playlists\featured.styles.ts                       | TypeScript         |        130 |          0 |         10 |        140 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\featured-playlists\styles.css                               | CSS                |         76 |          0 |          6 |         82 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\featured-playlists\tabs-panels.tsx                          | TypeScript React   |         22 |          0 |          4 |         26 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\header\deezer-icon-svg.tsx                                  | TypeScript React   |         11 |          0 |          2 |         13 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\header\fontFamily.css                                       | CSS                |          1 |          0 |          1 |          2 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\header\header-account-menu.tsx                              | TypeScript React   |        136 |         15 |         26 |        177 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\header\header-component.tsx                                 | TypeScript React   |        128 |          0 |         24 |        152 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\header\header-settings-dialog.tsx                           | TypeScript React   |        378 |          0 |         31 |        409 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\header\header-settings.styles.ts                            | TypeScript         |         14 |          0 |          3 |         17 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\header\header.styles.ts                                     | TypeScript         |         79 |          0 |          3 |         82 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\home-components.tsx                                         | TypeScript React   |         98 |          0 |         15 |        113 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\home-landing-page.tsx                                       | TypeScript React   |         80 |          3 |         14 |         97 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Home\landing-page.styles.ts                                      | TypeScript         |          9 |          0 |          3 |         12 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\Jamify.tsx                                                       | TypeScript React   |         18 |          0 |          5 |         23 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\artist\artist-albums.tsx                                         | TypeScript React   |         79 |          0 |         14 |         93 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\artist\artist-component.tsx                                      | TypeScript React   |         41 |          1 |         10 |         52 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\artist\artist-content-component.tsx                              | TypeScript React   |        138 |          2 |         21 |        161 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\artist\artist-tracks-table.tsx                                   | TypeScript React   |        127 |          0 |         19 |        146 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\artist\artist.styles.ts                                          | TypeScript         |        138 |          0 |          7 |        145 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\artist\fontFamily.css                                            | CSS                |          1 |          0 |          1 |          2 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\artist\image-tint.css                                            | CSS                |          8 |          0 |          2 |         10 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\artist\top-artist-component.tsx                                  | TypeScript React   |        157 |          0 |         24 |        181 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\dashboard\dashboard-component.tsx                                | TypeScript React   |        105 |          1 |         17 |        123 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\dashboard\dashboard-landing-page.tsx                             | TypeScript React   |         96 |          0 |          9 |        105 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\dashboard\dashboard-styles.ts                                    | TypeScript         |        104 |          0 |          4 |        108 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\dashboard\fontFamily.css                                         | CSS                |          1 |          0 |          1 |          2 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\errors\not-found-component.tsx                                   | TypeScript React   |          6 |          0 |          2 |          8 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\explore\carousel-items.css                                       | CSS                |          8 |          0 |          2 |         10 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\explore\explore-component.tsx                                    | TypeScript React   |        133 |          0 |         27 |        160 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\explore\explore-genre-playlists.tsx                              | TypeScript React   |        177 |          1 |         20 |        198 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\explore\explore-relative-routes.tsx                              | TypeScript React   |         22 |          1 |          5 |         28 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\explore\explore.styles.ts                                        | TypeScript         |         39 |          0 |          3 |         42 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\explore\mapped-genre-artists.tsx                                 | TypeScript React   |         61 |          0 |         12 |         73 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\explore\mapped-genre-playlists.tsx                               | TypeScript React   |         64 |          1 |         14 |         79 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\explore\mapped-genres.tsx                                        | TypeScript React   |         60 |          0 |         10 |         70 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\loader\loader-backdrop.tsx                                       | TypeScript React   |         11 |          0 |          2 |         13 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\loader\loader-component.tsx                                      | TypeScript React   |         20 |          0 |          2 |         22 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\me\carousel-items.css                                            | CSS                |          8 |          0 |          2 |         10 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\me\me-class.tsx                                                  | TypeScript React   |         64 |          0 |         10 |         74 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\me\me-component.tsx                                              | TypeScript React   |        303 |          7 |         27 |        337 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\me\playlist-component.tsx                                        | TypeScript React   |        121 |          1 |         18 |        140 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\me\playlists.styles.ts                                           | TypeScript         |         34 |          0 |          3 |         37 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\me\styles.css                                                    | CSS                |         77 |          1 |         11 |         89 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\notification\notification-component.tsx                          | TypeScript React   |          5 |          0 |          2 |          7 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\notification\notification-options.ts                             | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\player\player-component.tsx                                      | TypeScript React   |        462 |          3 |         71 |        536 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\player\player.styles.ts                                          | TypeScript         |         52 |          0 |          3 |         55 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\routes\dashboard-routes.tsx                                      | TypeScript React   |         48 |          1 |         11 |         60 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\routes\home-routes.tsx                                           | TypeScript React   |         37 |         76 |          4 |        117 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\routes\routes.ts                                                 | TypeScript         |         11 |          0 |          1 |         12 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\search\adornment.tsx                                             | TypeScript React   |         64 |          0 |          6 |         70 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\search\fontFamily.css                                            | CSS                |          1 |          0 |          1 |          2 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\search\search-component-content.tsx                              | TypeScript React   |         95 |          0 |         14 |        109 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\search\search-component.tsx                                      | TypeScript React   |        241 |          0 |         28 |        269 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\search\search-mapped\search-artist.tsx                           | TypeScript React   |         66 |          0 |         13 |         79 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\search\search-mapped\search-playlist.tsx                         | TypeScript React   |         51 |          0 |         11 |         62 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\search\search-mapped\search-track.tsx                            | TypeScript React   |         72 |          0 |         14 |         86 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\search\search.styles.ts                                          | TypeScript         |         67 |          0 |          7 |         74 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\artist-name-component.tsx                       | TypeScript React   |         53 |          0 |         12 |         65 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\fontFamily.css                                  | CSS                |          1 |          0 |          1 |          2 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\playlist-class.tsx                              | TypeScript React   |        215 |          3 |         22 |        240 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\playlist-component.tsx                          | TypeScript React   |        795 |          4 |        110 |        909 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\playlist.styles.ts                              | TypeScript         |        140 |          0 |          8 |        148 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\playlists-dialog\deezer-playlist-checkbox.tsx   | TypeScript React   |        140 |          2 |         20 |        162 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\playlists-dialog\dialog-component.tsx           | TypeScript React   |        215 |          1 |         15 |        231 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\playlists-dialog\my-own-playlist-checkbox.tsx   | TypeScript React   |        125 |          0 |         25 |        150 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\playlists-dialog\playlists-dialog-component.tsx | TypeScript React   |        566 |          1 |         74 |        641 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\playlists-dialog\spotify-playlist-checkbox.tsx  | TypeScript React   |        117 |          1 |         18 |        136 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\playlists-dialog\youtube-playlist-checkbox.tsx  | TypeScript React   |        167 |          2 |         26 |        195 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\relative-playlists.routes.tsx                   | TypeScript React   |         57 |          0 |         12 |         69 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\spotify-playlists-map.tsx                       | TypeScript React   |         48 |          1 |         11 |         60 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\table-component.tsx                             | TypeScript React   |        373 |          4 |         63 |        440 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\track-actions-component.tsx                     | TypeScript React   |        226 |          0 |         35 |        261 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\tracks-component.tsx                            | TypeScript React   |        189 |          2 |         23 |        214 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\spotify-playlist\youtube-playlists-map.tsx                       | TypeScript React   |         32 |          0 |          5 |         37 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\youtube-playlists\carousel-items.css                             | CSS                |          8 |          0 |          2 |         10 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\youtube-playlists\fontFamily.css                                 | CSS                |          1 |          0 |          1 |          2 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\youtube-playlists\playlist-artists.tsx                           | TypeScript React   |         97 |          2 |         20 |        119 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\youtube-playlists\playlist-cards.tsx                             | TypeScript React   |        158 |          2 |         27 |        187 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\youtube-playlists\playlist-component.tsx                         | TypeScript React   |        370 |          3 |         29 |        402 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\youtube-playlists\playlist-playlists.tsx                         | TypeScript React   |         82 |          4 |         18 |        104 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\youtube-playlists\playlist.styles.ts                             | TypeScript         |         83 |          0 |          7 |         90 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\app\youtube-playlists\styles.css                                     | CSS                |         55 |          1 |          9 |         65 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\assets\svg\chevron-right.svg                                         | XML                |          1 |          0 |          0 |          1 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\constants\constants-deezer.ts                                        | TypeScript         |         12 |          0 |          2 |         14 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\constants\constants-spotify.ts                                       | TypeScript         |         31 |          1 |          4 |         36 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\constants\constants-youtube.ts                                       | TypeScript         |         12 |          1 |          3 |         16 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\context\app-context.tsx                                              | TypeScript React   |         26 |          0 |          8 |         34 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\context\deezer-context.tsx                                           | TypeScript React   |         38 |          0 |         10 |         48 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\context\player-context.tsx                                           | TypeScript React   |         97 |          0 |         13 |        110 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\context\spotify-context.tsx                                          | TypeScript React   |         32 |          0 |         10 |         42 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\context\user-context.tsx                                             | TypeScript React   |         20 |          0 |          8 |         28 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\context\youtube-api-context.tsx                                      | TypeScript React   |         23 |          0 |          8 |         31 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\context\youtube-context.tsx                                          | TypeScript React   |         46 |          0 |         11 |         57 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\helpers\api-login.ts                                                 | TypeScript         |         85 |          0 |         10 |         95 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\helpers\thumbnails.ts                                                | TypeScript         |         22 |          0 |          3 |         25 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\helpers\title-parser.ts                                              | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\index.tsx                                                            | TypeScript React   |         31 |          0 |          4 |         35 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\react-app-env.d.ts                                                   | TypeScript         |          0 |          1 |          1 |          2 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\reportWebVitals.ts                                                   | TypeScript         |         13 |          0 |          3 |         16 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\setupTests.ts                                                        | TypeScript         |          1 |          0 |          1 |          2 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\shared\app-startup.tsx                                               | TypeScript React   |         61 |          1 |         11 |         73 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\shared\app-theme.ts                                                  | TypeScript         |          9 |          1 |          4 |         14 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\types\User.ts                                                        | TypeScript         |         12 |          0 |          1 |         13 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\types\deezer.types.ts                                                | TypeScript         |        274 |          0 |         30 |        304 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\types\index.d.ts                                                     | TypeScript         |        280 |        423 |         76 |        779 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\types\spotify.types.ts                                               | TypeScript         |         23 |         55 |          2 |         80 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\utils\auth.ts                                                        | TypeScript         |         24 |          1 |          6 |         31 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\utils\helpers.ts                                                     | TypeScript         |         16 |          1 |          3 |         20 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\utils\last-tick.ts                                                   | TypeScript         |          8 |          0 |          3 |         11 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\src\utils\noop.ts                                                        | TypeScript         |          2 |          1 |          1 |          4 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\tests\api\playlists-api.test.ts                                          | TypeScript         |        111 |          0 |         20 |        131 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\tests\api\tracks-api.test.ts                                             | TypeScript         |        111 |          0 |         19 |        130 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\tests\api\user-api.test.ts                                               | TypeScript         |        126 |          0 |         20 |        146 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\tests\utils\last-tick.test.ts                                            | TypeScript         |         43 |          0 |         13 |         56 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\tests\utils\local-storage.test.ts                                        | TypeScript         |         30 |          0 |          9 |         39 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\tests\utils\noop.test.ts                                                 | TypeScript         |          6 |          0 |          2 |          8 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\tests\utils\token-parser.test.ts                                         | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\manta\Desktop\0\Jamify\Frontend\tsconfig.json                                                            | JSON with Comments |         22 |          0 |          1 |         23 |
| Total                                                                                                             |                    |     42,926 |        674 |      1,830 |     45,430 |
+-------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
